Symbol,Category
NTR,Agriculture & Fertilizers
MOS,Agriculture & Fertilizers
DE,Agriculture & Fertilizers
CTVA,Agriculture & Fertilizers
CF,Agriculture & Fertilizers
EQT,Energy & Natural Gas
LNG,Energy & Natural Gas
VLO,Energy & Natural Gas
COP,Energy & Natural Gas
EPD,Energy & Natural Gas
HD,Retail & Home Improvement
LOW,Retail & Home Improvement
AMZN,Retail & Home Improvement
TGT,Retail & Home Improvement
BBY,Retail & Home Improvement
MTN,"Travel, Leisure & Apparel"
DAL,"Travel, Leisure & Apparel"
MAR,"Travel, Leisure & Apparel"
COLM,"Travel, Leisure & Apparel"
BKNG,"Travel, Leisure & Apparel"
HRB,Specialized Seasonal
POOL,Specialized Seasonal
MDLZ,Specialized Seasonal
SMG,Specialized Seasonal
EL,Specialized Seasonal
